"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"PTPRC",12.8242648071734,4.24493876155372,1.05528141548324,4.02256563914742,5.75676035415514e-05,0.00249577209337244,"PTPRC"
"HSD11B1",70.3137510613457,4.11575174835401,1.33390639471913,3.08548768088081,0.00203218642310426,0.0485106587257587,"HSD11B1"
"C3",1412.15526357478,4.04123906203702,0.202214345839203,19.9849276037543,7.44951999550485e-89,1.15944329210037e-84,"C3"
"ERP27",14.833052227361,3.86998316315688,0.750581946453661,5.15597688092782,2.52312027720607e-07,2.04531665381225e-05,"ERP27"
"PRDM6-AS1",12.5705330439915,3.72444424111499,1.01330124537794,3.6755547850194,0.000237333101836122,0.00831948738057972,"PRDM6-AS1"
"SPINK5",48.2505364757186,3.56248191359688,0.582560373121853,6.11521496820334,9.64268887789187e-10,1.32405442894066e-07,"SPINK5"
"AKR1C3",167.624207754081,3.50251653500831,0.359266278218824,9.74908235855908,1.86143204471249e-22,1.60951824132807e-19,"AKR1C3"
"PRRX1",24.1257907923085,3.48539293652148,0.769591503679179,4.52888697426998,5.92952048386237e-06,0.000345644407531213,"PRRX1"
"CFI",39.4798938474155,3.30728122184412,0.621662950842699,5.32005521217071,1.03735765635263e-07,9.12171444263973e-06,"CFI"
"FDCSP",12.5445249764651,3.3066047749094,0.751829809679244,4.39807617673488,1.09214649011775e-05,0.000590214165701131,"FDCSP"
"HTR1D",24.3309632543053,3.28638894778606,0.898686548735612,3.65688009062757,0.000255303734639523,0.00884977132723726,"HTR1D"
"LINC01735",10.8555785502727,3.25399586058684,1.00431989172541,3.23999941392827,0.0011952994526494,0.0316927439199919,"LINC01735"
"SPP1",32.0016552584473,3.24835825063673,0.956354555020381,3.39660456844638,0.000682274834313766,0.0203038728895974,"SPP1"
"GLIPR1",13.8725838562117,3.19434696975333,0.803202562148746,3.97701292337481,6.97863737148521e-05,0.00296763694125125,"GLIPR1"
"NDN",93.4811599676026,3.18679172595919,0.4215933205299,7.5589236612044,4.06418325238495e-14,1.12955264535928e-11,"NDN"
"CEP295NL",33.7307803582715,3.13365058728604,0.530966617403659,5.90178456530673,3.59590530468743e-09,4.55013578554107e-07,"CEP295NL"
"GPNMB",307.375718407177,3.08689259935809,0.236484444684411,13.0532585493205,6.08864061985309e-39,3.15878675357979e-35,"GPNMB"
"BHLHE41",22.1271368369446,2.93399438548949,0.75512045581059,3.88546537563993,0.000102134049468086,0.00412886843096439,"BHLHE41"
"OR10AC1",65.1258896947574,2.92133056331084,0.452534611970472,6.45548536186102,1.07872607916854e-10,1.72987592960854e-08,"OR10AC1"
"APOL1",25.4725810389259,2.89299088543887,0.659176840167186,4.38879327845487,1.1398134877783e-05,0.000603403303529983,"APOL1"
"ZDHHC15",148.866025339814,2.8875519897575,0.382289472203418,7.55331286816349,4.24324021549146e-14,1.15862790726156e-11,"ZDHHC15"
"RCSD1",13.0071815541505,2.80015367173107,0.865207496257546,3.23639552805903,0.0012104952712913,0.0319866696135446,"RCSD1"
"INKILN",27.6940037676817,2.75443556952404,0.652774898046528,4.21957948715073,2.44758418211109e-05,0.00120170978581631,"INKILN"
"MMP19",25.6607579326259,2.73036609619554,0.607203036051774,4.49662787253049,6.90396651811673e-06,0.000396506770804313,"MMP19"
"PNMA3",26.5171558614173,2.69416101235063,0.584811350072814,4.60688906262709,4.08737922495238e-06,0.000247532958199062,"PNMA3"
"TRPM3",29.1249466903467,2.68325007818755,0.527630184066609,5.08547493910776,3.66707253041799e-07,2.82546123086265e-05,"TRPM3"
"ZNF311",18.4200962018905,2.64181961802936,0.609335612906071,4.33557396297562,1.45380279555224e-05,0.000751727133221761,"ZNF311"
"WWTR1",37.772848604336,2.63564844283618,0.598563440226547,4.40329005366353,1.06621462084386e-05,0.000579575048967722,"WWTR1"
"GIMAP2",11.4676446640504,2.56623831658256,0.807077743884128,3.17966681156679,0.00147444478407925,0.0376818696542027,"GIMAP2"
"FILIP1",88.3730617679069,2.52626237988506,0.319784398843364,7.89989251827906,2.79144031622856e-15,9.24382491101731e-13,"FILIP1"
"NDP",34.2296170132633,2.49162151043769,0.616125803252368,4.04401422125979,5.25437299640865e-05,0.0023298877867836,"NDP"
"TGFBI",38.252617563882,2.48506969508176,0.653033260395927,3.8054259190031,0.000141560380437315,0.0053737701490887,"TGFBI"
"VIP",139.11665819164,2.46944797159388,0.445638646761742,5.54136852703029,3.00116859042961e-08,2.93774766927336e-06,"VIP"
"FGF5",28.6710488221309,2.46586137975099,0.571904172375056,4.31166880547581,1.62027005618772e-05,0.00083502924352668,"FGF5"
"ENSG00000236453",204.418266238929,2.42469665096764,0.255954021159555,9.47317272056511,2.71470269298085e-21,1.76048469639808e-18,"ENSG00000236453"
"ODAM",460.111468887367,2.42227208392109,0.320941381336036,7.54739720330702,4.44042769020998e-14,1.19156580293842e-11,"ODAM"
"LDB2",220.628519847332,2.41284609770789,0.295009755792801,8.17886883511252,2.86520782544196e-16,1.11485236487947e-13,"LDB2"
"LINC00689",31.4447602677121,2.40055506885628,0.448999308118826,5.34645605338211,8.96930455952992e-08,7.97704320940135e-06,"LINC00689"
"ASS1",109.7195150837,2.39792612735432,0.417925906042988,5.73768242810884,9.59808716140984e-09,1.07470955813081e-06,"ASS1"
"HAS2",746.918024305996,2.39555056336581,0.232133442562205,10.3197132516736,5.7394309547757e-25,6.38060738429493e-22,"HAS2"
"ULBP2",13.8949683178251,2.37410109654762,0.770808835065041,3.08001282360404,0.00206991682533315,0.0493356592182009,"ULBP2"
"IFI44L",64.7021239237897,2.36756663004612,0.417500465004381,5.6708119595059,1.42122323167953e-08,1.53458724495865e-06,"IFI44L"
"MYOF",67.6667635572709,2.34696895246437,0.494022994066964,4.75072816579513,2.02685450801351e-06,0.000133669337130179,"MYOF"
"GJA1",1201.67189411541,2.3429571319752,0.216204717365678,10.8367530575775,2.30507470160321e-27,4.48452283196905e-24,"GJA1"
"NPW",414.560107961879,2.32645579780954,0.397197738972907,5.85717281227581,4.70813146465404e-09,5.76987071778547e-07,"NPW"
"GFRA2",357.434785607832,2.31791808372993,0.218385601185851,10.6138777975446,2.568622872083e-26,3.99780463810999e-23,"GFRA2"
"TUBA4A",58.2917627108803,2.31681777312747,0.510286323873345,4.54023097374349,5.6192636431984e-06,0.000328790298280977,"TUBA4A"
