from	to	combined_score
9606.ENSP00000052754	9606.ENSP00000212355	514
9606.ENSP00000052754	9606.ENSP00000212355	514
9606.ENSP00000052754	9606.ENSP00000226218	584
9606.ENSP00000052754	9606.ENSP00000226218	584
9606.ENSP00000222573	9606.ENSP00000226218	948
9606.ENSP00000222573	9606.ENSP00000226218	948
9606.ENSP00000226218	9606.ENSP00000228872	905
9606.ENSP00000226218	9606.ENSP00000228872	905
9606.ENSP00000052754	9606.ENSP00000231061	898
9606.ENSP00000052754	9606.ENSP00000231061	898
9606.ENSP00000226218	9606.ENSP00000231061	698
9606.ENSP00000226218	9606.ENSP00000231061	698
9606.ENSP00000011292	9606.ENSP00000238558	542
9606.ENSP00000011292	9606.ENSP00000238558	542
9606.ENSP00000217086	9606.ENSP00000244050	688
9606.ENSP00000217086	9606.ENSP00000244050	688
9606.ENSP00000228682	9606.ENSP00000244050	520
9606.ENSP00000228682	9606.ENSP00000244050	520
9606.ENSP00000222725	9606.ENSP00000245323	414
9606.ENSP00000222725	9606.ENSP00000245323	414
9606.ENSP00000011292	9606.ENSP00000245479	548
9606.ENSP00000011292	9606.ENSP00000245479	548
9606.ENSP00000052754	9606.ENSP00000245479	480
9606.ENSP00000052754	9606.ENSP00000245479	480
9606.ENSP00000172229	9606.ENSP00000245479	474
9606.ENSP00000172229	9606.ENSP00000245479	474
9606.ENSP00000217086	9606.ENSP00000245479	409
9606.ENSP00000217086	9606.ENSP00000245479	409
9606.ENSP00000221496	9606.ENSP00000245479	983
9606.ENSP00000221496	9606.ENSP00000245479	983
9606.ENSP00000222598	9606.ENSP00000245479	592
9606.ENSP00000222598	9606.ENSP00000245479	592
9606.ENSP00000228682	9606.ENSP00000245479	722
9606.ENSP00000228682	9606.ENSP00000245479	722
9606.ENSP00000231061	9606.ENSP00000245479	492
9606.ENSP00000231061	9606.ENSP00000245479	492
9606.ENSP00000244050	9606.ENSP00000245479	635
9606.ENSP00000244050	9606.ENSP00000245479	635
9606.ENSP00000228682	9606.ENSP00000249373	994
9606.ENSP00000228682	9606.ENSP00000249373	994
9606.ENSP00000172229	9606.ENSP00000257770	684
9606.ENSP00000172229	9606.ENSP00000257770	684
9606.ENSP00000226279	9606.ENSP00000257770	819
9606.ENSP00000226279	9606.ENSP00000257770	819
9606.ENSP00000245479	9606.ENSP00000257770	582
9606.ENSP00000245479	9606.ENSP00000257770	582
9606.ENSP00000253407	9606.ENSP00000261180	443
9606.ENSP00000253407	9606.ENSP00000261180	443
9606.ENSP00000070846	9606.ENSP00000261200	506
9606.ENSP00000070846	9606.ENSP00000261200	506
9606.ENSP00000259486	9606.ENSP00000261226	415
9606.ENSP00000259486	9606.ENSP00000261226	415
9606.ENSP00000216832	9606.ENSP00000261308	479
9606.ENSP00000216832	9606.ENSP00000261308	479
9606.ENSP00000244050	9606.ENSP00000262713	555
9606.ENSP00000244050	9606.ENSP00000262713	555
9606.ENSP00000245323	9606.ENSP00000263666	451
9606.ENSP00000245323	9606.ENSP00000263666	451
9606.ENSP00000226279	9606.ENSP00000263851	540
9606.ENSP00000226279	9606.ENSP00000263851	540
9606.ENSP00000254878	9606.ENSP00000264009	416
9606.ENSP00000254878	9606.ENSP00000264009	416
9606.ENSP00000263851	9606.ENSP00000264563	645
9606.ENSP00000263851	9606.ENSP00000264563	645
9606.ENSP00000222598	9606.ENSP00000266744	478
9606.ENSP00000222598	9606.ENSP00000266744	478
9606.ENSP00000228682	9606.ENSP00000266744	420
9606.ENSP00000228682	9606.ENSP00000266744	420
9606.ENSP00000245479	9606.ENSP00000266744	543
9606.ENSP00000245479	9606.ENSP00000266744	543
9606.ENSP00000261488	9606.ENSP00000267339	496
9606.ENSP00000261488	9606.ENSP00000267339	496
9606.ENSP00000070846	9606.ENSP00000267853	715
9606.ENSP00000070846	9606.ENSP00000267853	715
9606.ENSP00000219454	9606.ENSP00000268679	432
9606.ENSP00000219454	9606.ENSP00000268679	432
9606.ENSP00000268070	9606.ENSP00000274181	916
9606.ENSP00000268070	9606.ENSP00000274181	916
9606.ENSP00000228872	9606.ENSP00000274255	998
9606.ENSP00000228872	9606.ENSP00000274255	998
9606.ENSP00000268070	9606.ENSP00000274487	910
9606.ENSP00000268070	9606.ENSP00000274487	910
9606.ENSP00000274181	9606.ENSP00000274487	924
9606.ENSP00000274181	9606.ENSP00000274487	924
9606.ENSP00000266682	9606.ENSP00000278426	456
9606.ENSP00000266682	9606.ENSP00000278426	456
9606.ENSP00000274255	9606.ENSP00000280154	421
9606.ENSP00000274255	9606.ENSP00000280154	421
9606.ENSP00000217086	9606.ENSP00000281043	435
9606.ENSP00000217086	9606.ENSP00000281043	435
9606.ENSP00000228682	9606.ENSP00000281043	692
9606.ENSP00000228682	9606.ENSP00000281043	692
9606.ENSP00000228872	9606.ENSP00000281043	459
9606.ENSP00000228872	9606.ENSP00000281043	459
9606.ENSP00000244050	9606.ENSP00000281043	456
9606.ENSP00000244050	9606.ENSP00000281043	456
9606.ENSP00000245479	9606.ENSP00000281043	411
9606.ENSP00000245479	9606.ENSP00000281043	411
