"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"TSPAN6",1624.84664642988,0.0195548845995801,0.190903146724457,0.102433537294201,0.91841256475623,0.999948834288684,"TSPAN6"
"DPM1",1624.13443615454,0.186546746029355,0.411466326787892,0.453370625697686,0.650281884547444,0.999948834288684,"DPM1"
"SCYL3",478.292723468715,0.00595691516873954,0.216925682382648,0.0274606266224936,0.97809234339878,0.999948834288684,"SCYL3"
"FIRRM",726.581452617713,-0.25317884240655,0.239437689486679,-1.05738926461131,0.290333968975805,0.999948834288684,"FIRRM"
"FUCA2",832.74902369157,-0.00660029994230822,0.17047374530073,-0.0387173985687046,0.969115701757666,0.999948834288684,"FUCA2"
"GCLC",1661.7886497846,0.0366942402402046,0.187458405000177,0.195746038915513,0.844808947563922,0.999948834288684,"GCLC"
"NFYA",3628.48325792865,-0.176148730666069,0.231197750077263,-0.761896387863647,0.446121846026917,0.999948834288684,"NFYA"
"STPG1",571.195125680539,0.260661760780836,0.180427114534886,1.44469284149881,0.1485441815269,0.902397205809784,"STPG1"
"NIPAL3",606.711077674638,0.315113400347555,0.242497776605012,1.29944861663957,0.193790016488264,0.981427763817465,"NIPAL3"
"LAS1L",3019.79433881618,-0.0319154797216457,0.149200417619841,-0.213910123247547,0.83061714573955,0.999948834288684,"LAS1L"
"SEMA3F",2512.64751534472,-0.133901462705349,0.16684526844352,-0.802548756428635,0.422235596831588,0.999948834288684,"SEMA3F"
"ANKIB1",3812.82043078272,-0.0929087644256261,0.319304520695902,-0.290972280076517,0.771072519982056,0.999948834288684,"ANKIB1"
"CYP51A1",95.751855113198,-0.442964773689752,0.536935287128587,-0.824987264403185,0.40937882115244,0.999948834288684,"CYP51A1"
"KRIT1",452.167911438036,0.0143686989884301,0.282075815483197,0.0509391383441239,0.959374018088563,0.999948834288684,"KRIT1"
"RAD52",316.666324678846,-0.124624971118139,0.169817976324434,-0.733873844309893,0.463025629459442,0.999948834288684,"RAD52"
"BAD",798.891934332074,0.170569669778584,0.323072880627423,0.527960345812158,0.597526858990912,0.999948834288684,"BAD"
"LAP3",2319.88426450801,-0.0837566232143791,0.131026684121765,-0.639233326980502,0.522671154575166,0.999948834288684,"LAP3"
"CD99",5019.00153819192,0.147730550792988,0.264723698257326,0.558055632213877,0.576806396047701,0.999948834288684,"CD99"
"MAD1L1",13.0744391871971,0.572132975992369,0.583726895583517,0.980138109655615,0.327017949721462,0.999948834288684,"MAD1L1"
"LASP1",4461.57563652268,-0.216177242143651,0.200926071719224,-1.07590438758858,0.281970019464325,0.999948834288684,"LASP1"
"SNX11",1934.99350100966,0.0637294061674626,0.129244450461295,0.493092012384296,0.621947574510234,0.999948834288684,"SNX11"
"M6PR",3145.12623642285,-0.0602939276070259,0.247896362637438,-0.243222316638865,0.807833179678893,0.999948834288684,"M6PR"
"KLHL13",13355.2975837271,0.333333042368473,0.194581830454133,1.71307383423472,0.0866989570760224,0.692346109764604,"KLHL13"
