"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"C3",1412.21129412831,5.58945608719418,0.201101428819084,27.7942136961274,5.09570893186654e-170,7.92688481441159e-166,"C3"
"TWIST2",48.0550769485428,5.47203025644997,0.577116897832866,9.4816670192781,2.50252711720845e-21,5.56133026218494e-19,"TWIST2"
"HOXA13",25.9016392184565,5.27233551706311,0.792588248053185,6.65204856369423,2.89041289145481e-11,1.96346126373236e-09,"HOXA13"
"BCAN-AS2",23.7557083297219,4.90480337269604,1.01902529612494,4.813230242024,1.48510021794575e-06,4.85340735091681e-05,"BCAN-AS2"
"BGN",390.092882718677,4.42042659692274,0.273360139880912,16.1707065223499,8.11622163105403e-59,1.26255943692676e-55,"BGN"
"ABLIM3",49.1088562685568,4.27497304607449,0.566322318206478,7.54865720216214,4.39768675472027e-14,4.27565094727678e-12,"ABLIM3"
"HSD11B1",70.3136317581748,4.14518553887612,1.33359438551895,3.10828058657662,0.00188179317194662,0.0252354953300014,"HSD11B1"
"NLRP1",16.7817114523048,4.02801083866668,0.797698122293975,5.04954283593291,4.42868625909159e-07,1.58373892980296e-05,"NLRP1"
"CASP1",10.0840336393687,3.88729491308896,1.19760312508507,3.24589576602253,0.00117081699009021,0.0170217094372367,"CASP1"
"ZDHHC15",148.870462825101,3.82496577889779,0.379068600987634,10.090431570782,6.09011702266586e-24,1.85760510597236e-21,"ZDHHC15"
"INKILN",27.6941812092384,3.79039796967404,0.641284590502563,5.91063316631946,3.40795213994801e-09,1.65152970370814e-07,"INKILN"
"COL9A1",32.9836280556057,3.74609880245069,0.581513359447636,6.44198235791007,1.17922991272258e-10,7.13778230440175e-09,"COL9A1"
"SOHLH1",15.9576635449714,3.74434761938648,0.882021249977805,4.24518980634616,2.18408461343935e-05,0.000541875920999402,"SOHLH1"
"ENSG00000236453",204.423584701199,3.71665729664924,0.250822611332462,14.8178717895687,1.12285928956373e-49,1.34363070065026e-46,"ENSG00000236453"
"BHLHE41",22.127805117974,3.69043009611567,0.746083337900744,4.94640465567753,7.55967282515392e-07,2.57890944008979e-05,"BHLHE41"
"ZFPM2-AS1",44.7461345296736,3.66964289062271,0.52879777166453,6.93959598027719,3.93222887817279e-12,2.95506050380946e-10,"ZFPM2-AS1"
"LINC01735",10.8555616001241,3.66455168103046,0.99617200457845,3.67863347312313,0.000234486967158893,0.0042712871910114,"LINC01735"
"PRDM6-AS1",12.5708992399987,3.6319300640748,1.01282793846982,3.58592997499842,0.000335879086127008,0.00583140074083898,"PRDM6-AS1"
"LINC01404",29.4159587157338,3.60513897792499,0.675174450177901,5.33956665121892,9.31690130407202e-08,3.73540506923053e-06,"LINC01404"
"SYN3",15.4977808464505,3.59603118988606,0.767751659996682,4.68384684430588,2.81540408679975e-06,8.68976705838431e-05,"SYN3"
"NNAT",919.09293929861,3.56453415973114,0.331813955326093,10.7425685463653,6.42320559227385e-27,2.7005239511733e-24,"NNAT"
"HTR1D",24.3310480319788,3.45042032584683,0.896516433010601,3.84869724502421,0.00011874766054801,0.00240849959188101,"HTR1D"
"SHANK1",263.230403794663,3.34251297193208,0.502679711322459,6.64938905757414,2.94312090472265e-11,1.99057342582024e-09,"SHANK1"
"LTF",271.030543985917,3.32396718063096,0.311213162492343,10.6806767233463,1.25354495084579e-26,5.13161717246241e-24,"LTF"
"CHAT",21.2706516837506,3.2519213416735,0.690157207327536,4.71185594694542,2.45470880948122e-06,7.68318918315693e-05,"CHAT"
"SLCO2B1",96.1357308773873,3.21994693261545,0.493778303763256,6.52103769662441,6.98226323758297e-11,4.41528808633499e-09,"SLCO2B1"
"CD74",10.4039183768429,3.21427134588971,0.855523312022991,3.75708212823466,0.00017190609110665,0.00325909905077905,"CD74"
"UNC13D",2672.9510340997,3.21221964466027,0.189127676674628,16.9843975304922,1.07148196602923e-64,2.77799557725845e-61,"UNC13D"
"MIR124-1HG",40.3391919834,3.19656591449,0.457482936855173,6.9872899226883,2.80246744051114e-12,2.12659431729714e-10,"MIR124-1HG"
"ENSG00000236938",29.4287931678284,3.19445226771019,0.544733980449922,5.8642426989257,4.5118713914667e-09,2.15958988817403e-07,"ENSG00000236938"
"SEZ6",453.410073036751,3.19314430838827,0.262698061975075,12.1551879156658,5.38378537822832e-34,3.80682569744181e-31,"SEZ6"
"MMP19",25.6612181656959,3.1836001238717,0.600903055262119,5.29802618907136,1.17061179960019e-07,4.6218368412641e-06,"MMP19"
"GRAMD2A",14.566518999285,3.15204911652413,0.94781611163781,3.32559140725878,0.000882311645005124,0.013390477999707,"GRAMD2A"
"GABRD",56.2858146694435,3.13591475111871,0.359542283523232,8.72196371561421,2.73417950919943e-18,4.34009147399044e-16,"GABRD"
"PPP2R2C",329.90479503532,3.12634644241934,0.294115828751604,10.6296436192821,2.16939872494106e-26,8.65311963209826e-24,"PPP2R2C"
"NFASC",501.007411102004,3.12530035893697,0.327351895715627,9.54721936802818,1.33223982849063e-21,3.14004890484851e-19,"NFASC"
"KCNT1",734.238622840692,3.09649308907973,0.266179381628789,11.6331064792917,2.79728890170268e-31,1.61165282055137e-28,"KCNT1"
"EPHA10",35.1989493866307,3.0595462876066,0.420495674117716,7.27604699864308,3.43743875003004e-13,2.98730710589203e-11,"EPHA10"
"SVOP",204.444053412331,3.05055766997323,0.274581500530628,11.1098441230674,1.12355470826867e-28,5.63807001349273e-26,"SVOP"
"CACNG5",15.1549155284846,3.04284499057106,0.828867817939784,3.67108593760376,0.000241522108405384,0.00436992257965135,"CACNG5"
"MARCHF4",535.801024253244,3.04180715840169,0.211495610823326,14.3823654143947,6.67727817429632e-47,7.41940994852525e-44,"MARCHF4"
"RPH3A",596.723604626376,3.01992032136964,0.319346048574094,9.45657644694159,3.18190611674862e-21,6.87468493779744e-19,"RPH3A"
"ENSG00000237954",18.5394042613024,3.01234798362683,0.79709951919336,3.77913662107742,0.000157373066675329,0.00304489480746446,"ENSG00000237954"
"MPV17L",37.7216430948183,3.00785451495736,0.650913524844761,4.62097406206872,3.81942530238924e-06,0.000114700733598392,"MPV17L"
"KIF1A",5148.67782585991,2.97362914613163,0.284326742413457,10.458492651414,1.33969909314503e-25,4.96199026022955e-23,"KIF1A"
"TRIM67",951.076919817639,2.93569322261213,0.310053217863626,9.46835270035277,2.84291485666602e-21,6.22878640990092e-19,"TRIM67"
"PTPRN",3506.34530770244,2.93480484207866,0.152598999557995,19.2321368461088,1.99246822555543e-82,1.54974178583701e-78,"PTPRN"
"BMPER",57.4238301312584,2.92966239614874,0.454919739667496,6.43995443743561,1.19509372306536e-10,7.20576664961424e-09,"BMPER"
"DMGDH",11.7545057058327,2.88075476222338,0.804646040820963,3.58015154002896,0.000343395000890146,0.00593267355478427,"DMGDH"
"GOLGA7B",424.215619180837,2.84551054465777,0.173486764975194,16.4018883230928,1.85384939765102e-60,3.20427569220659e-57,"GOLGA7B"
"PTPRN2-AS1",12.9604743654779,2.82716821161478,0.706629374859056,4.00092086771611,6.30964572261354e-05,0.0013959798534804,"PTPRN2-AS1"
"GLIPR1",13.8724638836655,2.81991589899475,0.806767729624741,3.49532560047537,0.000473483767035032,0.00781072479320993,"GLIPR1"
"INSYN2B",104.089531690862,2.80715847521666,0.545499281169354,5.14603515003563,2.66049592113131e-07,9.83056402591891e-06,"INSYN2B"
