"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"PRUNE2",6.09273277922939,6.55761622428909,1.56110509724156,4.20062443962052,2.66179817086677e-05,0.00205580565242653,"PRUNE2"
"TMC4",8.86549631390937,5.7064400929972,1.65790605655403,3.44195623777266,0.000577523671856619,0.0262792825672364,"TMC4"
"EFCC1",4.59152886829684,5.58776280349617,1.56606629792917,3.56802442584005,0.000359682980797743,0.0182631978008083,"EFCC1"
"SRPX2",4.69685135519044,5.4805311008119,1.59873165543375,3.42804940540506,0.000607934812575534,0.0270452690558575,"SRPX2"
"PON1",3.90437988344228,5.31515373881399,1.63799662114506,3.24491129603086,0.00117487215116599,0.0444335325013208,"PON1"
"SLFN5",4.74681891186599,5.25066431087905,1.54975639273316,3.38805784928491,0.00070389416552805,0.0302539415537621,"SLFN5"
"CCNO",8.04465914121412,4.79936045058739,1.46920652209482,3.26663432159584,0.00108834163288528,0.0417087274442994,"CCNO"
"CEP295NL",78.8682932493538,4.46520541150435,0.457994330173962,9.74947748765431,1.85420153848483e-22,2.66978532948408e-19,"CEP295NL"
"TRPM3",23.5423076746231,4.21737943289215,0.823060927983831,5.12401851369987,2.99091595927729e-07,4.01939226047411e-05,"TRPM3"
"C3",1408.77946540314,4.02086662079795,0.214325968179004,18.7605200385226,1.58837872859374e-78,3.20185384109925e-74,"C3"
"ERP27",14.8172785511552,3.86395189168464,0.813679248734154,4.74874085543636,2.04687018745628e-06,0.000221832307735181,"ERP27"
"PTPRC",8.96831581788666,3.71493931651053,1.1229068297315,3.30832373456916,0.000938562460937059,0.0370245442026795,"PTPRC"
"C6orf58",15.3071770210662,3.59319684618282,0.822889709611141,4.36655946017456,1.26218939195321e-05,0.00106904259508373,"C6orf58"
"SPINK5",48.1717020983593,3.5601726817637,0.589181728807097,6.04257143033254,1.51677161519881e-09,3.35989914496457e-07,"SPINK5"
"AKR1C3",167.202666400184,3.51341230260689,0.368984717876785,9.52183690106135,1.70144524129791e-21,2.1436083233802e-18,"AKR1C3"
"PRRX1",19.8916538236488,3.43868727635388,0.972573937241527,3.53565641097364,0.000406763366293384,0.0199017862566554,"PRRX1"
"SPP1",34.6508707710058,3.35233785236157,0.912985715962699,3.67184041737903,0.000240810041580015,0.0129792749148929,"SPP1"
"FDCSP",12.5288659482394,3.30708360195682,0.82010978513144,4.03248889589433,5.51892235038807e-05,0.00375218209400929,"FDCSP"
"HTR1D",24.2979313963112,3.28506182773144,0.891602866803628,3.6844451156918,0.00022920140464316,0.0124200051473033,"HTR1D"
"SPINK2",9.91888614304583,3.20254100479021,0.922443476865014,3.47180188825689,0.00051697769805184,0.0240120655237995,"SPINK2"
"CDR1",27.175372891659,3.16860329902995,0.670777691162543,4.72377561265993,2.31505845970938e-06,0.000248228449100115,"CDR1"
"GPNMB",282.077071219378,3.09790758774402,0.257713969421703,12.0207204704331,2.76549556753084e-33,1.11493719300573e-29,"GPNMB"
"GLIPR1",14.1763352398739,3.04955935025758,0.849396634210142,3.59026540421057,0.000330341430013161,0.0171183098874172,"GLIPR1"
"LOC107984536",8.91090284032189,2.98540972544708,0.886402575476706,3.36800660111071,0.000757137832796774,0.0316646979948493,"LOC107984536"
"RXRB",55.3559105715839,2.98383023908135,0.683657838902374,4.36450819297552,1.27409074661552e-05,0.00107068651067999,"RXRB"
"BHLHE41",22.2918065734172,2.93612504577419,0.788898180790054,3.72180481242049,0.000197803901998963,0.0109542061991623,"BHLHE41"
"APOL1",25.4319180861709,2.89003880563588,0.677658570035746,4.26474176440125,2.00133535118803e-05,0.00160090944481144,"APOL1"
"LOC124901968",24.6539230489407,2.87257084362339,0.579889221632528,4.9536544851384,7.28324843208462e-07,8.48645791294577e-05,"LOC124901968"
"ZDHHC15",158.830243889148,2.85830860233738,0.378323789914124,7.55519128994291,4.18244701793161e-14,1.87355037749923e-11,"ZDHHC15"
"MMP19",24.6622645850966,2.82242322479507,0.683490336441285,4.12942667118093,3.63668965522988e-05,0.0026657596389136,"MMP19"
"INKILN",28.2762387354153,2.7513069023296,0.677741856974572,4.05952041181488,4.91736094220125e-05,0.00340632858669735,"INKILN"
"CFI",260.210103345443,2.7297333539534,0.267047630396351,10.221896932401,1.58214031377056e-24,2.89934404045335e-21,"CFI"
"GNAS-AS1",26.3584945224262,2.71335165134819,0.577526523616243,4.69822863607762,2.62427565214549e-06,0.000274295041228069,"GNAS-AS1"
"PNMA3",26.4786786549425,2.68988213528114,0.615407264957416,4.37089759651646,1.23736817875357e-05,0.00105391381823966,"PNMA3"
"TUBA4A",56.8075917616791,2.6224715977069,0.50607878068376,5.18194340051897,2.19585855280004e-07,3.05269770395471e-05,"TUBA4A"
"TPPP",48.2644664098756,2.61838748820435,0.479450344612632,5.46122766961374,4.72853176788435e-08,7.62541947016102e-06,"TPPP"
"WWTR1",39.1634645194742,2.55713538671909,0.59230867974077,4.31723436475427,1.57996374406588e-05,0.00129995547562776,"WWTR1"
"LOC105378929",22.392147893831,2.54442085780145,0.642057476077438,3.96291757763843,7.40393486502746e-05,0.0048615152771734,"LOC105378929"
"YBX2",38.4575611685775,2.50026029800231,0.648617580989712,3.85475258655063,0.000115846724585842,0.00707647961879215,"YBX2"
"POU2AF2",10.3512534778883,2.48456428271003,0.766324142321609,3.24218453457951,0.0011861718939145,0.0446098004431503,"POU2AF2"
"NDP",33.8747271268033,2.46809624539504,0.635994135980055,3.88069025446555,0.000104160427529533,0.00646051045581637,"NDP"
"FGF5",28.6481369171459,2.46682820112009,0.60236929414347,4.09520907706253,4.21787573707172e-05,0.00300374999959804,"FGF5"
"VIP",139.002241887783,2.4662828503517,0.440378082255937,5.60037601716599,2.13887340072192e-08,3.74916608797847e-06,"VIP"
"TGFBI",37.5559255398925,2.45913263040852,0.647869556641088,3.79572184740091,0.0001472144824783,0.00857673276820109,"TGFBI"
"LDB2",252.452435000085,2.42338065098447,0.306905225542328,7.89618569283776,2.87568160449819e-15,1.56670242658039e-12,"LDB2"
"ODAM",459.472767577132,2.4183681401384,0.319601384518587,7.5668262319363,3.82452940914003e-14,1.79290380998709e-11,"ODAM"
"HAS2",746.184526399796,2.39405049795573,0.240483542453891,9.95515316152977,2.39453876766462e-23,4.02242603988195e-20,"HAS2"
"ASS1",106.616193293553,2.37290742375055,0.419994058178168,5.64985951002176,1.60579019235028e-08,2.97481899130436e-06,"ASS1"
"IFI44L",62.8866793344222,2.36448601458147,0.456776472946879,5.17646191216256,2.26133190431403e-07,3.11291924584258e-05,"IFI44L"
"MYOF",67.796449205067,2.35237758575513,0.494782532941079,4.75436667453105,1.99069458045574e-06,0.000216910385690956,"MYOF"
"GJA1",1200.09726957172,2.34137037367275,0.224816561302772,10.4145813818382,2.12731400003706e-25,4.76471062363856e-22,"GJA1"
"LOC130890646",426.281414216442,2.329645870092,0.209360740504574,11.1274246760753,9.22626475598762e-29,3.09971741585331e-25,"LOC130890646"
"GFRA2",357.276732509621,2.31026679085476,0.235341645028844,9.81665098232661,9.54623497640227e-23,1.48025388195628e-19,"GFRA2"
"PIM2",51.1879281058965,2.30920664565162,0.63341748789373,3.64563134076121,0.000266736138757079,0.0142245160980561,"PIM2"
"LRP1B",265.457016463511,2.29146523292389,0.43269081896311,5.29584898153167,1.18464714559422e-07,1.79549753089386e-05,"LRP1B"
"FILIP1",325.107844788804,2.28780480209099,0.271988576286619,8.41140033646163,4.05144345284922e-17,3.14111527394363e-14,"FILIP1"
"INSYN2B",118.682787010737,2.25496713394883,0.498407744495874,4.52434208507268,6.05836672677302e-06,0.000571869522612274,"INSYN2B"
