"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
1624.83191388381,-0.420295674629582,0.191089269008232,-2.19947293121664,0.0278443118153995,0.198168155848055,"TSPAN6"
1624.09976661756,-0.407952898089489,0.41163801320518,-0.991047680249457,0.321662298704494,0.739862734990073,"DPM1"
478.29858638506,0.0436274737918507,0.216617432287745,0.201403337354206,0.840383205848891,0.969591422545824,"SCYL3"
726.590323522328,-0.142320107756208,0.239152934697739,-0.595100820887202,0.551776079969669,0.876064045431043,"FIRRM"
832.74722969395,-0.169122064710637,0.170484859379025,-0.992006359547985,0.321194423156395,0.739354402214942,"FUCA2"
1661.79446491229,-0.209431704244874,0.187572272348336,-1.11653871663901,0.264191607206404,0.682793906194971,"GCLC"
3628.53747336991,-0.0403911239129651,0.231185453700107,-0.174713085388842,0.861305085271768,0.9732290472424,"NFYA"
571.200986353083,0.397480487599568,0.179906140283701,2.2093769949862,0.0271484297873426,0.194662352231436,"STPG1"
606.719445825568,0.434117204481033,0.242192002189834,1.79245061998689,0.0730608124040326,0.359548696481639,"NIPAL3"
3019.79046199501,-0.0870278087019787,0.149089605836178,-0.583728209715748,0.559403184824946,0.880025642063193,"LAS1L"
2512.65170315102,-0.470452936260769,0.166990612305602,-2.81724181835932,0.00484380408857544,0.0531870401567097,"SEMA3F"
3812.8967244017,0.0434992220086818,0.319332468749057,0.136219226873748,0.891647975994017,0.979899393469652,"ANKIB1"
95.7550758954494,0.140159894602659,0.533630549216355,0.262653430933603,0.792817713494505,0.958523452608818,"CYP51A1"
452.16222871355,-0.541109094767557,0.282888170050362,-1.91280213192098,0.055773388138683,0.307663413434522,"KRIT1"
316.666529499801,-0.18439420776197,0.169485145020859,-1.08796678162724,0.276609772448032,0.69645627222475,"RAD52"
798.881367704902,0.0800597738454832,0.323007817307835,0.247857078236544,0.804244990396035,0.960967437637355,"BAD"
2319.88528261407,-0.0350950506543837,0.130797686542073,-0.268315530512803,0.788456452760381,0.956797634057086,"LAP3"
5018.92350812228,-0.282995458371506,0.264727508467503,-1.06900661744507,0.285066687587079,0.705826372356795,"CD99"
13.0747578425462,0.993436355195541,0.569129041495976,1.74553797603485,0.0808912679917067,0.381547775888111,"MAD1L1"
4461.63423668086,-0.0074607560098153,0.200883051332905,-0.037139798307082,0.970373539444546,0.992737806673827,"LASP1"
1935.00591897284,0.352583634590136,0.128814881850428,2.73713432427423,0.00619769809453655,0.0642742610390737,"SNX11"
3145.17963185156,0.145087760137675,0.247863265335971,0.585354025498748,0.558309695142344,0.879322225132561,"M6PR"
13355.4284799493,0.240754066026497,0.19463562833756,1.23694756239055,0.216106550794175,0.625221206878098,"KLHL13"
2215.54545540038,-0.184151642414281,0.180678218860989,-1.01922436237854,0.308096463188491,0.727607193162314,"ICA1"
2480.07907468245,0.176115640920473,0.165322303179278,1.06528664029977,0.286746236558805,0.707810926040744,"DBNDD1"
1972.22693570658,0.174480245237744,0.290924374403575,0.599744334229286,0.54867663681753,0.875774831883744,"ALS2"
915.104023299759,-0.144169456101785,0.186541950320901,-0.772852732877379,0.439609540958226,0.818356840224455,"CFLAR"
477.880871062418,-2.64558146922167,0.285184968935714,-9.27672127705311,1.7477391709865e-20,3.48561930049565e-18,"TFPI"
564.341762426243,-0.278118961563477,0.199936571900446,-1.39103596165468,0.16421452202516,0.552328887486137,"NDUFAF7"
2829.69125011189,-0.272852697902409,0.116836282468811,-2.33534217399673,0.0195255526544679,0.155284432584004,"RBM5"
281.050273134709,0.815617303349693,0.271777060344547,3.00105278317342,0.00269047923475733,0.0332695508552345,"MTMR7"
3389.15868095732,1.00714741851688,0.360332083433229,2.79505340995678,0.00518911414601548,0.0560179456317951,"SLC7A2"
6185.79770702661,-0.132611479997841,0.251145712067582,-0.528026056690769,0.597481250918438,0.896038903985545,"ARF5"
1325.72214253076,0.223485357597305,0.336521360928481,0.664104522163752,0.506623416028478,0.856075804881491,"SARM1"
5548.1014449533,0.16553503792363,0.17334344074537,0.9549541488956,0.339600884553064,0.755878002590852,"POLDIP2"
1147.72586084464,-0.729287770358433,0.204926323125881,-3.55878034229136,0.000372580964946529,0.00636908735242661,"PLXND1"
3817.71064849118,0.0536552673620308,0.137242142557869,0.390953291474642,0.695831761558353,0.929613968842882,"AK2"
15.0338465097894,-2.91491515336301,0.640287307563694,-4.55251122258587,5.30093322304911e-06,0.000153273823824818,"CD38"
5572.99337424815,0.236362957842201,0.193846160027693,1.21933268014406,0.222717949706741,0.633150662580054,"FKBP4"
9182.03068804085,-0.108459057677427,0.0977529691884923,-1.10952187516975,0.267205112953807,0.685936981588311,"KDM1A"
3793.10297755405,-0.229815525322873,0.130198636610908,-1.7651146840321,0.0775444932800107,0.372884741101653,"RBM6"
347.484528482883,0.338733417689107,0.18362858557348,1.84466605039312,0.065086132332602,0.339524548551763,"CAMKK1"
1267.89199526082,0.0145348659072901,0.335908365761596,0.0432703302114421,0.965486042123468,0.99146144550554,"RECQL"
1397.62018392586,-0.1963187428037,0.196425689821138,-0.999455534469373,0.317574069031212,0.736201601491258,"VPS50"
23.9024689867302,-0.722351375280302,0.429840645161875,-1.68050970379563,0.0928581878956387,0.411674789429897,"HSPB6"
737.223219687177,0.07404734259472,0.222971373377734,0.33209349466255,0.7398186621603,0.943527442136726,"ARHGAP33"
2267.66453520345,-0.196942343745575,0.288718681928125,-0.682125390814173,0.495159666630855,0.850036735583122,"NDUFAB1"
180.786841316105,-1.09945932230941,0.26986801162804,-4.07406315286006,4.61999446487181e-05,0.00105071102186471,"PDK4"
