"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"A1BG",23.1942538395885,-0.255045267827262,0.471135068269709,-0.541342143695525,0.588271777429057,0.937376286323499,"A1BG"
"A1BG-AS1",94.3731376063576,-0.0906354123028585,0.36043070805384,-0.251464179598481,0.801455253114216,0.979556420472931,"A1BG-AS1"
"A2M",29.0000220659126,-0.853546439311227,0.44012082685156,-1.9393457142602,0.0524592559287574,0.391193698584601,"A2M"
"A2ML1",2.57408216951059,-0.273689051359621,1.90390908609451,-0.143751113621207,0.885697007487547,0.989445404207576,"A2ML1"
"A4GALT",35.0625631551663,1.179251523115,0.494520407420744,2.38463672159778,0.0170959940858191,0.194909329678078,"A4GALT"
"AAAS",2168.02719128495,-0.153295509662343,0.182415719906385,-0.840363482604534,0.400704617437849,0.870736801984095,"AAAS"
"AACS",978.572638197697,-0.0578685842190795,0.199166227896431,-0.290554201032375,0.771392291752869,0.973384334430517,"AACS"
"AADAT",909.383085297915,-0.289040689851142,0.200845711480279,-1.43911805594875,0.150117077097856,0.640563681547904,"AADAT"
"AAGAB",2641.73367678043,0.10464258596451,0.142489788860781,0.734386560616985,0.462713175305882,0.895075755641153,"AAGAB"
"AAK1",2005.27206928215,0.534491729905727,0.304875504455928,1.75314750478089,0.0795766911103624,0.481999493662785,"AAK1"
"AAMDC",144.103045806216,0.142662266990634,0.347606864267634,0.410412686444517,0.681503241522737,0.958054791676302,"AAMDC"
"AAMP",5437.15972051012,0.0853518263549508,0.188970808161697,0.451666726650805,0.651509091917106,0.953426203647573,"AAMP"
"AANAT",17.2376158438581,-0.102849273640126,0.654636270325064,-0.157109036425764,0.875158915989264,0.989277901297455,"AANAT"
"AAR2",2134.57339546144,0.0514417521079386,0.14936147375925,0.344411117627666,0.730537129078899,0.966442215168367,"AAR2"
"AARD",41.6844689753958,0.0308241488993058,0.423450965277077,0.0727927231884726,0.941971061650263,0.993928947311433,"AARD"
"AARS1",5771.73248928975,0.462417468604009,0.172665576460857,2.67811035692362,0.00740388197814398,0.106510200009095,"AARS1"
"AARS2",1908.83429432789,-0.0681831624089897,0.167353570711496,-0.407419824501574,0.683699669042232,0.958938301485246,"AARS2"
"AARSD1",38.3440153094572,-0.753563923673272,0.411883044228907,-1.82955801223629,0.0673160571192118,0.444664988469491,"AARSD1"
"AARSD1P1",5.607855193158,0.235204601940195,1.23588820784781,0.190312198503603,0.849064495314245,0.985239148961995,"AARSD1P1"
"AASDH",536.108584616837,-0.012737996052765,0.216586481181043,-0.0588125167522222,0.953101438792316,0.99502674356472,"AASDH"
"AASDHPPT",2262.67432529407,-0.279326726790616,0.255382297211414,-1.09375915966243,0.274060620271631,0.785356548073752,"AASDHPPT"
"AASS",122.247074405051,-2.19736208845378,0.281006626727037,-7.81960950190775,5.29874515769876e-15,9.54078154747283e-13,"AASS"
"AATBC",7.98350420436795,0.891648791753791,1.22169546083211,0.72984538319106,0.465484700205046,0.896085265636825,"AATBC"
"AATF",2012.5949356752,0.00513214572087853,0.24018201876813,0.0213677349670088,0.982952311452917,0.998475186914512,"AATF"
"AATK",927.410559873708,0.46592773630429,0.244269529033006,1.90743290065186,0.056464552316552,0.406333012957063,"AATK"
"ABAT",1928.48609952754,0.346069740097282,0.25532016225501,1.35543443588929,0.175279184410071,0.678620497198554,"ABAT"
"ABCA1",33.21420558061,0.760510180864698,0.546848018598362,1.3907158021967,0.164311623830697,0.66335828826588,"ABCA1"
"ABCA10",115.643609219181,0.0305760673808717,0.369996549981688,0.0826387905032762,0.934138756385835,0.993693181647842,"ABCA10"
"ABCA11P",32.457179571457,-0.775819256425276,1.42864577979651,-0.54304521624372,0.587098670681124,0.937245139319592,"ABCA11P"
"ABCA12",272.044604705127,-0.354556579747644,0.415447221014446,-0.853433509271963,0.393418945497908,0.867607065129259,"ABCA12"
"ABCA17P",11.662776593015,-0.331595657404607,0.65269482795723,-0.508040884041348,0.611424671642372,0.943006354715865,"ABCA17P"
"ABCA2",6682.32538337364,0.561336129273276,0.294632804309899,1.90520580553839,0.0567533238487124,0.407065015816043,"ABCA2"
"ABCA3",5856.08862582898,0.772304972331472,0.226998441818464,3.40224790154772,0.000668339837439246,0.0160980495713025,"ABCA3"
"ABCA4",2.75239013014711,0.701984781940196,1.37266902004936,0.511401344160119,0.609070053900288,0.942321239464989,"ABCA4"
"ABCA5",154.746513496121,-0.315517226252966,0.291557789044985,-1.08217731821352,0.279173744992593,0.789064546609919,"ABCA5"
"ABCA7",671.30112886908,0.399881677540956,0.248040898894752,1.61216024987328,0.10692707269213,0.550024187602512,"ABCA7"
"ABCB1",5190.78267551495,0.806648524242969,0.186931469036881,4.31520989161981,1.5945132913587e-05,0.000657047545831253,"ABCB1"
"ABCB10",1152.53579165374,-0.0673628843724638,0.194751053550218,-0.345892271925983,0.729423676704503,0.966303817764312,"ABCB10"
"ABCB10P4",4.49252798262235,-0.0958659237344388,1.61489815387204,-0.059363448713209,0.95266262539544,0.99502674356472,"ABCB10P4"
"ABCB4",527.42182783684,0.483122274960654,0.209982919774406,2.30076939343302,0.021404669319172,0.228250665502064,"ABCB4"
"ABCB6",134.363629326217,0.0231651525229193,0.286195014055758,0.0809418451937327,0.935488201468584,0.993778433042978,"ABCB6"
"ABCB7",834.531609546225,-0.525208992635299,0.177233626271101,-2.96337102436715,0.00304289550519363,0.0548345246616804,"ABCB7"
"ABCB8",3934.78030273894,0.1858923962026,0.176873973788559,1.05098784304367,0.293264173340227,0.80289000275915,"ABCB8"
"ABCB9",208.431615340112,-0.0525786397848316,0.24675881104822,-0.21307705107461,0.831266864208565,0.983541915656013,"ABCB9"
"ABCC1",4593.46450274006,0.170599683412106,0.264880071673709,0.644063867599139,0.51953401944377,0.917675136988028,"ABCC1"
"ABCC10",1413.83688826051,0.421778201403606,0.245929802145261,1.71503493161222,0.0863388227008661,0.502944820543603,"ABCC10"
"ABCC11",8.21852535873528,2.52981479072531,1.1087684401023,2.28164393864954,0.0225103703814574,0.236031172395931,"ABCC11"
"ABCC2",15.0306225557266,-1.30311064705678,0.799348695508994,-1.63021551718053,0.103055955497007,0.541907188522792,"ABCC2"
"ABCC3",914.98292671438,0.541946789916718,0.20334219938248,2.66519586963517,0.00769434931337722,0.109856270948741,"ABCC3"
"ABCC4",1023.21309997314,0.000764103754236887,0.270438915610222,0.00282542086264749,0.997745643315346,0.999912184238613,"ABCC4"
"ABCC5",2926.6829284978,0.0613292541705903,0.282265102829666,0.217275368282418,0.827993751841216,0.983451524110215,"ABCC5"
"ABCC6",103.048602206222,0.329862814957291,0.278802577624666,1.18314119534922,0.236753193690261,0.750932011577291,"ABCC6"
"ABCC6P1",12.628510889011,-1.23450855080927,0.723678744513599,-1.7058792456852,0.0880305646652651,0.506752466981624,"ABCC6P1"
"ABCC6P2",8.55959623495156,-1.2369349983322,1.12324690544704,-1.10121380467094,0.270803614948294,0.782324742809268,"ABCC6P2"
"ABCC8",212.153917677112,-0.203398209738267,0.381413636526791,-0.533274613856077,0.593843498051471,0.938216349374041,"ABCC8"
"ABCC9",187.943213708893,-0.966029271702419,0.326918505616377,-2.9549543849806,0.0031271528286367,0.0560499941948925,"ABCC9"
"ABCD1",1622.91651486671,0.307505022980171,0.190675674553096,1.61271239082226,0.106807007293833,0.54984181380079,"ABCD1"
"ABCD2",1693.70492927453,0.0564629611949126,0.258271486556817,0.218618640205531,0.826947131239844,0.983451524110215,"ABCD2"
"ABCD3",2316.24181591639,-0.0941006608161598,0.212766706278531,-0.44227154925721,0.658292716195676,0.955125497710452,"ABCD3"
"ABCD4",1654.19553756641,-0.0973866297129484,0.199473995450254,-0.488217170830346,0.625396023402832,0.946649967574663,"ABCD4"
"ABCE1",2348.08232948545,-0.331030744102344,0.201598593807291,-1.64202903329166,0.100583987340875,0.536602619486269,"ABCE1"
"ABCF1",7972.78082197376,0.123890831502284,0.159809979905624,0.775238389839284,0.438198807391907,0.886420996057145,"ABCF1"
"ABCF2",1871.52868273197,-0.170851198186334,0.262653508554553,-0.650481309488575,0.515381370928756,0.915747195275579,"ABCF2"
"ABCF3",1977.04714482272,0.00596105706819783,0.191568520265565,0.0311171013898015,0.975176151336642,0.997678955961912,"ABCF3"
"ABCG1",225.579861340003,0.294620636426927,0.258338311922563,1.14044500110863,0.254100953754155,0.768212999052782,"ABCG1"
"ABCG2",7.01833221727124,-1.75530650899005,1.16410612094065,-1.50785781245759,0.131590921993188,0.608189088716079,"ABCG2"
"ABCG4",105.013884281912,0.259587708766491,0.348887444225493,0.744044284375892,0.456849684370493,0.892953566222815,"ABCG4"
"ABHD1",67.3850166935556,0.938635068548132,0.342059792464295,2.74406723393575,0.00606831079347136,0.0918028601602162,"ABHD1"
"ABHD10",1007.49407733445,-0.0820290711109502,0.257836962461557,-0.318143179813409,0.75037633107217,0.969333540997493,"ABHD10"
"ABHD11",797.363934630014,0.53520346404492,0.233974918410966,2.28743947291333,0.0221701845284454,0.23335526762643,"ABHD11"
"ABHD12",3160.59231744537,0.202472510339158,0.207310945890685,0.976660974022674,0.328737021798179,0.826585266608477,"ABHD12"
"ABHD12B",7.77306110283957,2.02135404063167,1.02863382870949,1.96508610179352,0.0494042729152956,0.377877320031441,"ABHD12B"
"ABHD13",888.423659484566,-0.39473240718623,0.304794988049327,-1.29507512479945,0.19529431509737,0.703342236579597,"ABHD13"
"ABHD14A",228.865334467309,0.0360902655414518,0.3577590415885,0.100878695842895,0.919646755077179,0.993456846567799,"ABHD14A"
"ABHD14B",967.751926344664,0.251248498953534,0.231580017472289,1.08493168666247,0.277951912590675,0.788211194371336,"ABHD14B"
"ABHD15",584.518374655348,-0.0965335991129473,0.188656050131233,-0.511690979673309,0.60886730015033,0.942312668834743,"ABHD15"
"ABHD16A",22.6715810384429,0.357503441594283,0.592558369685713,0.603321900227144,0.546294566616921,0.928065867560212,"ABHD16A"
"ABHD17A",5207.40380924742,-0.0939843834995473,0.223375136319444,-0.420746843395955,0.673939951277038,0.956765884045439,"ABHD17A"
"ABHD17B",1042.6375979814,-0.40391045579416,0.217447937245461,-1.85750419576624,0.0632394548093899,0.428891974003664,"ABHD17B"
"ABHD17C",317.974389242601,0.0752039067038821,0.211195618800469,0.356086490482232,0.721775794073732,0.964836187826493,"ABHD17C"
"ABHD18",269.942118934636,-0.643758638084224,0.286932948156806,-2.24358562590872,0.0248590749553532,0.25188159573074,"ABHD18"
"ABHD2",4459.04172922389,0.719997429088548,0.426035759698993,1.68999294706446,0.091029303973575,0.514925326531084,"ABHD2"
"ABHD3",287.155340984996,-0.0204159784042382,0.239726638476939,-0.0851635785407393,0.932131345464579,0.993693181647842,"ABHD3"
"ABHD4",697.950939356019,0.175461736675277,0.249492245056589,0.703275312767655,0.481884192547449,0.903594865025781,"ABHD4"
"ABHD5",646.862868928175,0.354682814545349,0.217853484127833,1.62807960572817,0.103508007316258,0.543394324711788,"ABHD5"
"ABHD6",432.976971452605,0.245065649396754,0.213888175987613,1.14576529658632,0.251892277930508,0.765567120680234,"ABHD6"
"ABHD8",1314.84781785736,0.243322200494524,0.212913935489773,1.14281951500639,0.253113534591135,0.766705048864239,"ABHD8"
"ABI1",1512.94500277137,-0.227804985119687,0.185604094058519,-1.22737047517854,0.219683378174591,0.734629829113597,"ABI1"
"ABI2",5237.27284497811,-0.158092654894259,0.236008579967655,-0.669859777623022,0.502947182547799,0.912275197574689,"ABI2"
"ABI3BP",91.4288132404521,0.878739332268824,0.428645034622331,2.0500396862011,0.0403605582292189,0.340822978437103,"ABI3BP"
"ABITRAM",500.366648724855,0.211564967361682,0.208766338798756,1.01340555464559,0.310866487315273,0.814504309023688,"ABITRAM"
"ABL1",9309.08728417544,0.0614376596948895,0.30098434682114,0.204122441395263,0.838257817821828,0.985144290145864,"ABL1"
"ABL2",2122.90196143241,0.342286594619606,0.292099291510314,1.17181590153744,0.241270977026879,0.756494369447539,"ABL2"
"ABLIM1",4749.86625509227,0.529347718634019,0.3214038504633,1.64698623825125,0.0995608745088244,0.534565159744154,"ABLIM1"
"ABLIM2",187.376385467696,0.592799225754354,0.329142877479314,1.80103920307864,0.0716967011355795,0.457837626117812,"ABLIM2"
"ABLIM3",49.1191445091948,4.28488016282079,0.575894578622437,7.44038982459324,1.00388613485208e-13,1.53141435585387e-11,"ABLIM3"
"ABO",11.1316151597121,-1.59140503008056,0.821411991272251,-1.93740175087498,0.0526962527830547,0.392000875342148,"ABO"
"ABR",10008.9736537199,0.513371429072587,0.221250528290099,2.32031730292397,0.0203237187719312,0.220469693957043,"ABR"
"ABRACL",998.829417984295,-0.399233883254873,0.396157770893312,-1.00776486689791,0.313567355957483,0.816081381918365,"ABRACL"
"ABRAXAS1",190.55211019187,-0.249384017314468,0.332153934705637,-0.750808559698316,0.452767877250032,0.89056315486942,"ABRAXAS1"
"ABRAXAS2",1052.40368666996,-0.0261846110198314,0.188716424342475,-0.13875109763797,0.889646838507035,0.989883033109734,"ABRAXAS2"
"ABT1",1327.02472507827,-0.233798216852427,0.189084330153819,-1.23647589761792,0.216281719441081,0.730707556284563,"ABT1"
"ABTB1",970.052959555675,0.124069040762872,0.242340747027117,0.511961122035286,0.608678219285732,0.942252555744303,"ABTB1"
"ABTB2",914.829059848041,0.433980809272675,0.272338980674779,1.59353173826748,0.111040954179491,0.559780912040869,"ABTB2"
"ABTB3",36.7922486830759,0.772862616690453,0.483036209116625,1.60000969307013,0.109596433088931,0.556262672288479,"ABTB3"
"ACAA1",892.505067596038,0.0372648970627908,0.197823675747356,0.188374303136407,0.850583242211414,0.985483232154965,"ACAA1"
"ACAA2",3699.53731607608,0.201737626054385,0.233012448123759,0.86578046657506,0.386610563072396,0.864704306689382,"ACAA2"
"ACAA2P1",11.8274971519797,1.34363391587453,0.659282475903191,2.03802461764785,0.0415474709921731,0.346049064197025,"ACAA2P1"
"ACACA",1921.72057923855,0.304336839858203,0.331494029577981,0.918076383594746,0.358578877854736,0.847268490628246,"ACACA"
"ACACB",1298.04868260134,0.0745287503301837,0.294483256380982,0.25308315062152,0.800203958983267,0.978985379413559,"ACACB"
"ACAD10",1253.63812150203,0.161443551122289,0.161849101425762,0.99749426904505,0.318524654189154,0.819601540627909,"ACAD10"
"ACAD11",21.3973595430872,0.351205358112979,0.584723052107014,0.600635389433395,0.548082861452735,0.928094668437531,"ACAD11"
"ACAD8",1154.6351701363,0.114554788980336,0.165503176709424,0.692160665782636,0.488836437319491,0.905953768547816,"ACAD8"
"ACAD9",1367.55745152988,-0.00716857514894912,0.170086787901543,-0.0421465725668165,0.96638185359309,0.996973037759697,"ACAD9"
"ACAD9-DT",32.1403060658384,0.156590151019541,0.550508506351379,0.284446378598903,0.776068321143035,0.974471521182219,"ACAD9-DT"
"ACADL",7.63818161161204,-1.47183014044122,1.03557192948634,-1.42127272720812,0.155237488915251,0.649172267085726,"ACADL"
"ACADM",1957.66516725785,-0.202648806495482,0.231262228359987,-0.876272826447193,0.380881733813388,0.859989169690562,"ACADM"
"ACADS",518.686968229207,-0.283110798244575,0.272564971092377,-1.03869105817205,0.298948441129225,0.806825002743189,"ACADS"
"ACADSB",663.383786548329,-0.0847190177837503,0.253747416766428,-0.333871449267731,0.738476564950687,0.967388006637375,"ACADSB"
"ACADVL",11288.0040549071,0.182149480710631,0.20233737691107,0.900226559676556,0.367999694609577,0.852996654161505,"ACADVL"
"ACAP1",74.3520651678562,-0.231128125651954,0.332455328150362,-0.695215585618229,0.486920206408255,0.905045189569657,"ACAP1"
"ACAP2",1214.19635975077,-0.231551787974729,0.315753777245334,-0.733330223298702,0.463357045664682,0.895075755641153,"ACAP2"
"ACAP3",4661.18130348684,-0.0757454971560536,0.186451093495834,-0.406248607803128,0.684559942196967,0.959222316147272,"ACAP3"
"ACAT1",1525.17402689754,0.322780169268119,0.257169204539859,1.25512761081038,0.209432438700141,0.721323672142677,"ACAT1"
"ACAT2",1225.34704724681,-0.112505268236626,0.237683763034828,-0.473340150795828,0.635970521257347,0.949150400672597,"ACAT2"
"ACBD3",2704.44601516426,-0.179082683229866,0.216963279359598,-0.825405496074991,0.409141415657127,0.871818815522558,"ACBD3"
"ACBD4",253.643918600881,0.266622063889716,0.234741724919076,1.13581027821803,0.2560359745247,0.769748611934606,"ACBD4"
"ACBD5",3156.3931053926,-0.291499700950198,0.215745743874516,-1.35112607885207,0.176655048821474,0.679674367133096,"ACBD5"
"ACBD6",2609.86153054237,-0.148601180788111,0.252371326819378,-0.588819588425214,0.555982304043573,0.930705479582597,"ACBD6"
"ACBD7",304.381850077288,-0.51261021089104,0.239176076117077,-2.14323363445479,0.0320943427849909,0.296349906665782,"ACBD7"
"ACCS",662.121037239855,-0.238551081417932,0.230502041381901,-1.03491960412921,0.300706458463238,0.807275900939224,"ACCS"
"ACCSL",9.64790328830683,0.129315162188947,1.07358006013098,0.120452276445196,0.904124882192839,0.991699303248488,"ACCSL"
"ACD",1457.22215949215,0.254198839867587,0.187377503672553,1.35661344016946,0.174904068989594,0.678620497198554,"ACD"
"ACE",513.18100574336,0.0612186667117234,0.247667422748846,0.247180941410303,0.804768194299363,0.98082239925511,"ACE"
"ACER2",60.872680252811,0.403354477044397,0.702381347413974,0.574267068067036,0.565787090549155,0.933052982013095,"ACER2"
"ACER3",861.61670723339,-0.378615599125347,0.304779607068446,-1.24226027708055,0.214140546344191,0.728094515480116,"ACER3"
"ACHE",442.535318433244,1.82641704247778,0.235360815455154,7.76007271620703,8.48807041242903e-15,1.45669877148304e-12,"ACHE"
"ACIN1",7333.9143372312,-0.196287545927172,0.161984843685595,-1.211764887758,0.225602392557857,0.740349062096063,"ACIN1"
"ACKR2",3.00053601496978,0.644534884556995,1.75155921529379,0.367977787407483,0.71288979700434,0.963606209492159,"ACKR2"
"ACLY",14903.3008926346,0.0736757392726592,0.292855549704905,0.251577063664657,0.801367989056826,0.979504263054268,"ACLY"
"ACMSD",2.5580671227033,-0.269082284043509,2.0150594990628,-0.133535652008618,0.893769770512209,0.990447029099083,"ACMSD"
"ACO1",1604.10882890221,-0.015064365992263,0.163498405418273,-0.0921376936596067,0.926588640601564,0.993532331427897,"ACO1"
"ACO2",1807.65519247469,0.234563944262841,0.196668608053091,1.19268624812517,0.232992273385786,0.747064847389515,"ACO2"
"ACOT1",161.484535331,-0.0966710743957521,0.283389587374321,-0.341124299207444,0.73301000904725,0.96714702797411,"ACOT1"
"ACOT11",262.500786830812,-0.251303393294389,0.368266872312167,-0.682394785380989,0.494989352198984,0.909596602042464,"ACOT11"
"ACOT13",528.817340221264,0.0925647728304582,0.224439119929138,0.41242708873428,0.68002641157118,0.957606421460781,"ACOT13"
"ACOT2",1299.74994178836,-0.0400820257393095,0.161821730053299,-0.247692480645879,0.804372350192788,0.980720842353609,"ACOT2"
"ACOT7",5787.54842417378,0.450775046426453,0.244143621583261,1.84635192802988,0.0648411223934934,0.434920591028357,"ACOT7"
"ACOT8",545.531507856704,0.264182432712529,0.26198595064825,1.0083839689069,0.313270165950878,0.815936179208315,"ACOT8"
"ACOT9",1345.27658296914,0.0231267074972701,0.193147526215183,0.119735975657824,0.904692300904408,0.991699303248488,"ACOT9"
"ACOX1",2061.41579054659,0.264826706894748,0.153850915358045,1.72132032024924,0.0851927141224384,0.499799175553834,"ACOX1"
"ACOX2",17.0177176461968,-0.0569874620824474,0.671801522645522,-0.0848278251261378,0.932398272010983,0.993693181647842,"ACOX2"
"ACOX3",772.407513987997,0.075779943174617,0.184029452695689,0.411781603784513,0.680499506248172,0.957872786812033,"ACOX3"
"ACOXL",18.8573116474855,0.0642758242529227,0.557324951073615,0.115329170404274,0.908184217981427,0.991699303248488,"ACOXL"
"ACOXL-AS1",22.4053743420091,-1.48303451339074,0.725843935129679,-2.04318647799376,0.0410339817984186,0.343780884121228,"ACOXL-AS1"
"ACP1",3249.29435158765,-0.256686186766598,0.234737060340842,-1.0935051601732,0.274172064609397,0.785356548073752,"ACP1"
"ACP2",1934.5185437481,0.0208304861508676,0.180322268799658,0.115518101505315,0.908034473596218,0.991699303248488,"ACP2"
"ACP3",109.27880913338,-0.613491800483349,0.328819501922625,-1.86574031313906,0.0620777066004188,0.426262638250713,"ACP3"
"ACP4",8.69985282764924,0.471353617221859,0.901091993826273,0.523091560519108,0.600910538224785,0.94021857680674,"ACP4"
"ACP5",7.8408702298736,-0.885354334239747,1.07627524926528,-0.822609583230805,0.410730047202519,0.872705380135788,"ACP5"
"ACP6",458.178327064858,-0.0357565364068574,0.230878573642782,-0.154871609966633,0.876922535533722,0.989277901297455,"ACP6"
"ACR",13.6504956106839,0.591650539633782,0.844538690433792,0.700560609401902,0.483577268169092,0.904107006528298,"ACR"
"ACRBP",22.9722419576474,-0.913152958391815,0.530554211554941,-1.72113035483322,0.0852271721624968,0.499799175553834,"ACRBP"
"ACRV1",19.8998810289247,-0.178190281477445,0.529195872206563,-0.336718955751588,0.73632877237775,0.967306489927412,"ACRV1"
"ACSBG1",3.38801295377287,-0.895969419069487,1.37583544566178,-0.651218444687274,0.514905485479209,0.915639223313779,"ACSBG1"
"ACSBG2",3.16656031824722,2.00111121764974,1.50711458081169,1.32777642995929,0.18425197566252,0.689399275997034,"ACSBG2"
"ACSF2",1340.83338698961,-0.135333704037433,0.239457950355613,-0.56516688561166,0.571960257962418,0.933867659846168,"ACSF2"
"ACSF3",972.247651401176,0.0882798785095373,0.197656920771614,0.446631861737551,0.655140886698502,0.954137204456637,"ACSF3"
"ACSL1",1487.94974309048,0.236180375103828,0.24453879795743,0.965819645293844,0.334134436419612,0.830548460303147,"ACSL1"
"ACSL3",2622.08187023374,-0.135072748281201,0.197077040476211,-0.685380437796385,0.493103885068856,0.907964211509435,"ACSL3"
"ACSL4",890.115907864871,0.235662415107544,0.225972330615982,1.04288173010008,0.297003072209732,0.806287624083566,"ACSL4"
"ACSL5",5.02287773058638,0.0131499680853826,1.14560706305876,0.0114786024889479,0.990841601410778,0.999799596212398,"ACSL5"
"ACSL6",22.6496679817833,1.28061381300057,0.684335635041205,1.87132416818168,0.061300162625726,0.423986357808351,"ACSL6"
"ACSM3",9.75708378835603,-0.0232593587933555,0.841664985435577,-0.0276349369355294,0.977953316653733,0.99776974746621,"ACSM3"
"ACSM4",44.1561473073607,1.061464387635,0.402296548949539,2.63851228753181,0.00832706826058564,0.116320196464053,"ACSM4"
"ACSS1",50.6760559514456,-5.75858168574693,0.647832463555513,-8.88899832858326,6.16622565838623e-19,1.78228261891803e-16,"ACSS1"
"ACSS2",1147.86277147927,0.225486738859473,0.169380475030173,1.33124398676592,0.183108742231572,0.687730224673246,"ACSS2"
"ACTA2",276.911249703938,0.810937233814674,0.236662158771775,3.42656062136534,0.000611277298428371,0.0149698198601739,"ACTA2"
"ACTB",144465.589223038,-0.0768126987981899,0.161255168869545,-0.476342552841399,0.633830354281911,0.948761695691867,"ACTB"
"ACTG1",73452.3961803384,0.0766004856946419,0.150910840200298,0.507587696105682,0.611742521101865,0.943094109133601,"ACTG1"
"ACTG1P17",2.76845658319829,0.892782393212538,1.6785154795441,0.531888090454205,0.59480350630796,0.938564443374712,"ACTG1P17"
"ACTG1P24",7.8689671896952,-0.0789892914679837,1.03922159737502,-0.0760081311507611,0.939412629191337,0.993778433042978,"ACTG1P24"
"ACTG1P25",51.6143321450089,-0.37354971080533,0.411374852677996,-0.908051885946773,0.363850809101349,0.850819303328647,"ACTG1P25"
